iter,scenario,ms,decision
91,floor,28,668,-
91,defer,49,362,defer
91,allow,49,625,allow
92,floor,367,867,-
92,defer,55,239,defer
92,allow,47,399,allow
93,floor,29,231,-
93,defer,49,462,defer
93,allow,49,069,allow
94,floor,29,574,-
94,defer,64,221,defer
94,allow,50,444,allow
95,floor,28,731,-
95,defer,46,269,defer
95,allow,48,465,allow
96,floor,28,943,-
96,defer,48,643,defer
96,allow,48,406,allow
97,floor,30,708,-
97,defer,61,585,defer
97,allow,48,2,allow
98,floor,30,598,-
98,defer,46,979,defer
98,allow,47,064,allow
99,floor,28,981,-
99,defer,48,726,defer
99,allow,62,058,allow
100,floor,28,971,-
100,defer,49,212,defer
100,allow,48,026,allow
101,floor,40,586,-
101,defer,52,552,defer
101,allow,48,063,allow
102,floor,28,417,-
102,defer,49,344,defer
102,allow,48,226,allow
103,floor,28,33,-
103,defer,49,381,defer
103,allow,48,541,allow
104,floor,28,692,-
104,defer,49,762,defer
104,allow,356,865,allow
105,floor,28,797,-
105,defer,49,294,defer
105,allow,47,37,allow
106,floor,28,333,-
106,defer,48,912,defer
106,allow,48,152,allow
107,floor,32,536,-
107,defer,60,612,defer
107,allow,46,9,allow
108,floor,28,666,-
108,defer,50,142,defer
108,allow,47,77,allow
109,floor,29,467,-
109,defer,48,781,defer
109,allow,61,94,allow
110,floor,31,045,-
110,defer,61,886,defer
110,allow,63,409,allow
111,floor,316,444,-
111,defer,59,726,defer
111,allow,48,707,allow
112,floor,29,421,-
112,defer,48,748,defer
112,allow,50,495,allow
113,floor,29,94,-
113,defer,61,714,defer
113,allow,48,36,allow
114,floor,28,617,-
114,defer,50,031,defer
114,allow,48,807,allow
115,floor,32,533,-
115,defer,60,552,defer
115,allow,62,626,allow
116,floor,29,45,-
116,defer,50,721,defer
116,allow,47,387,allow
117,floor,30,025,-
117,defer,62,991,defer
117,allow,63,329,allow
118,floor,28,914,-
118,defer,49,522,defer
118,allow,47,716,allow
119,floor,28,951,-
119,defer,49,667,defer
119,allow,63,716,allow
120,floor,30,554,-
120,defer,63,336,defer
120,allow,60,226,allow
121,floor,30,039,-
121,defer,61,737,defer
121,allow,61,809,allow
122,floor,32,55,-
122,defer,63,429,defer
122,allow,63,15,allow
123,floor,32,647,-
123,defer,55,192,defer
123,allow,379,335,allow
124,floor,29,705,-
124,defer,63,324,defer
124,allow,47,674,allow
125,floor,33,039,-
125,defer,59,76,defer
125,allow,48,025,allow
126,floor,28,959,-
126,defer,51,034,defer
126,allow,62,393,allow
127,floor,29,255,-
127,defer,47,203,defer
127,allow,47,157,allow
128,floor,31,313,-
128,defer,63,33,defer
128,allow,47,484,allow
129,floor,29,197,-
129,defer,47,831,defer
129,allow,47,714,allow
130,floor,320,898,-
130,defer,60,91,defer
130,allow,61,334,allow
131,floor,37,562,-
131,defer,56,544,defer
131,allow,62,572,allow
132,floor,30,748,-
132,defer,47,074,defer
132,allow,65,158,allow
133,floor,29,29,-
133,defer,61,219,defer
133,allow,47,614,allow
134,floor,30,504,-
134,defer,48,847,defer
134,allow,61,947,allow
135,floor,29,01,-
135,defer,49,388,defer
135,allow,60,579,allow
136,floor,29,394,-
136,defer,48,77,defer
136,allow,46,182,allow
137,floor,29,218,-
137,defer,48,351,defer
137,allow,48,619,allow
138,floor,29,367,-
138,defer,46,62,defer
138,allow,50,601,allow
139,floor,31,007,-
139,defer,62,224,defer
139,allow,47,345,allow
140,floor,31,78,-
140,defer,63,484,defer
140,allow,48,045,allow
141,floor,29,299,-
141,defer,50,503,defer
141,allow,46,99,allow
142,floor,28,908,-
142,defer,349,904,defer
142,allow,62,907,allow
143,floor,30,085,-
143,defer,48,854,defer
143,allow,62,963,allow
144,floor,30,253,-
144,defer,60,652,defer
144,allow,48,793,allow
145,floor,29,486,-
145,defer,50,316,defer
145,allow,62,201,allow
146,floor,29,136,-
146,defer,48,121,defer
146,allow,47,082,allow
147,floor,30,283,-
147,defer,63,618,defer
147,allow,47,005,allow
148,floor,29,164,-
