iter,scenario,ms,decision
398,defer,57,922,defer
398,allow,47,267,allow
399,floor,30,248,-
399,defer,47,932,defer
399,allow,47,814,allow
400,floor,29,043,-
400,defer,50,317,defer
400,allow,47,784,allow
401,floor,28,366,-
401,defer,50,983,defer
401,allow,62,939,allow
402,floor,37,487,-
402,defer,55,843,defer
402,allow,47,606,allow
403,floor,28,884,-
403,defer,49,012,defer
403,allow,61,738,allow
404,floor,28,622,-
404,defer,49,398,defer
404,allow,48,588,allow
405,floor,28,343,-
405,defer,50,956,defer
405,allow,63,972,allow
406,floor,28,931,-
406,defer,47,784,defer
406,allow,46,893,allow
407,floor,28,537,-
407,defer,49,142,defer
407,allow,47,348,allow
408,floor,28,235,-
408,defer,51,086,defer
408,allow,47,203,allow
409,floor,316,743,-
409,defer,46,201,defer
409,allow,48,704,allow
410,floor,28,522,-
410,defer,50,127,defer
410,allow,48,298,allow
411,floor,28,977,-
411,defer,49,949,defer
411,allow,63,41,allow
412,floor,29,654,-
412,defer,48,872,defer
412,allow,47,256,allow
413,floor,28,414,-
413,defer,49,514,defer
413,allow,47,368,allow
414,floor,28,639,-
414,defer,49,894,defer
414,allow,346,523,allow
415,floor,28,632,-
415,defer,49,96,defer
415,allow,48,16,allow
416,floor,29,235,-
416,defer,48,041,defer
416,allow,64,314,allow
417,floor,31,033,-
417,defer,46,28,defer
417,allow,47,479,allow
418,floor,29,061,-
418,defer,48,428,defer
418,allow,48,485,allow
419,floor,28,348,-
419,defer,48,387,defer
419,allow,51,195,allow
420,floor,30,243,-
420,defer,61,808,defer
420,allow,46,489,allow
421,floor,28,296,-
421,defer,48,725,defer
421,allow,48,46,allow
422,floor,28,528,-
422,defer,49,455,defer
422,allow,62,788,allow
423,floor,29,559,-
423,defer,63,889,defer
423,allow,49,127,allow
424,floor,29,296,-
424,defer,64,239,defer
424,allow,62,966,allow
425,floor,30,509,-
425,defer,47,033,defer
425,allow,62,137,allow
426,floor,28,478,-
426,defer,49,153,defer
426,allow,48,615,allow
427,floor,318,842,-
427,defer,58,831,defer
427,allow,48,548,allow
428,floor,28,646,-
428,defer,49,516,defer
428,allow,47,603,allow
429,floor,30,251,-
429,defer,63,455,defer
429,allow,48,268,allow
430,floor,28,338,-
430,defer,48,958,defer
430,allow,48,338,allow
431,floor,29,955,-
431,defer,48,093,defer
431,allow,47,931,allow
432,floor,29,714,-
432,defer,50,813,defer
432,allow,64,494,allow
433,floor,310,864,-
433,defer,47,056,defer
433,allow,46,4,allow
434,floor,36,96,-
434,defer,57,881,defer
434,allow,47,316,allow
435,floor,29,448,-
435,defer,50,904,defer
435,allow,63,145,allow
436,floor,30,986,-
436,defer,344,738,defer
436,allow,48,102,allow
437,floor,28,43,-
437,defer,50,283,defer
437,allow,46,694,allow
438,floor,28,653,-
438,defer,49,497,defer
438,allow,48,497,allow
439,floor,33,627,-
439,defer,62,276,defer
439,allow,66,23,allow
440,floor,31,016,-
440,defer,57,637,defer
440,allow,63,2,allow
441,floor,29,743,-
441,defer,46,139,defer
441,allow,47,204,allow
442,floor,28,343,-
442,defer,49,304,defer
442,allow,49,016,allow
443,floor,29,708,-
443,defer,48,272,defer
443,allow,47,913,allow
444,floor,28,583,-
444,defer,49,356,defer
444,allow,48,326,allow
445,floor,29,135,-
445,defer,51,735,defer
445,allow,45,987,allow
446,floor,28,313,-
446,defer,48,138,defer
446,allow,47,697,allow
447,floor,28,831,-
447,defer,348,811,defer
447,allow,47,73,allow
448,floor,28,842,-
448,defer,49,936,defer
448,allow,62,398,allow
449,floor,31,263,-
449,defer,46,752,defer
449,allow,46,764,allow
450,floor,28,579,-
450,defer,50,125,defer
450,allow,46,602,allow
451,floor,28,683,-
451,defer,48,22,defer
451,allow,48,281,allow
452,floor,28,888,-
452,defer,66,812,defer
452,allow,64,515,allow
453,floor,342,01,-
453,defer,49,193,defer
453,allow,48,061,allow
454,floor,29,464,-
454,defer,49,196,defer
454,allow,46,613,allow
455,floor,28,702,-
455,defer,47,966,defer
455,allow,47,751,allow
456,floor,28,232,-
456,defer,49,035,defer
456,allow,46,59,allow
457,floor,28,618,-
457,defer,49,586,defer
457,allow,51,761,allow
458,floor,29,77,-
458,defer,59,572,defer
458,allow,92,991,allow
459,floor,28,595,-
459,defer,49,069,defer
459,allow,48,298,allow
460,floor,28,153,-
460,defer,49,565,defer
460,allow,48,752,allow
461,floor,30,988,-
461,defer,60,76,defer
461,allow,47,175,allow
462,floor,28,243,-
462,defer,48,228,defer
462,allow,48,235,allow
463,floor,28,678,-
463,defer,49,185,defer
463,allow,47,222,allow
464,floor,28,274,-
464,defer,49,322,defer
464,allow,46,803,allow
465,floor,37,333,-
465,defer,60,437,defer
465,allow,344,618,allow
466,floor,30,25,-
466,defer,63,009,defer
466,allow,62,536,allow
467,floor,29,178,-
467,defer,49,109,defer
467,allow,46,921,allow
468,floor,28,226,-
468,defer,49,46,defer
468,allow,46,642,allow
469,floor,28,218,-
469,defer,50,217,defer
469,allow,46,958,allow
470,floor,28,499,-
470,defer,49,243,defer
470,allow,48,572,allow
471,floor,30,441,-
471,defer,47,683,defer
471,allow,377,866,allow
472,floor,38,444,-
472,defer,52,615,defer
472,allow,47,082,allow
473,floor,30,018,-
473,defer,47,451,defer
473,allow,47,197,allow
474,floor,28,535,-
474,defer,50,478,defer
474,allow,47,894,allow
475,floor,28,706,-
475,defer,49,31,defer
475,allow,48,469,allow
476,floor,30,147,-
476,defer,62,608,defer
476,allow,45,528,allow
477,floor,28,453,-
477,defer,50,066,defer
477,allow,48,011,allow
478,floor,28,557,-
478,defer,48,628,defer
478,allow,49,507,allow
479,floor,30,195,-
479,defer,63,598,defer
479,allow,47,096,allow
480,floor,28,334,-
480,defer,48,834,defer
480,allow,48,739,allow
481,floor,28,443,-
481,defer,49,472,defer
481,allow,47,262,allow
482,floor,28,409,-
482,defer,49,174,defer
482,allow,47,755,allow
483,floor,28,425,-
483,defer,65,363,defer
483,allow,47,692,allow
484,floor,30,751,-
484,defer,333,021,defer
484,allow,63,349,allow
485,floor,35,37,-
485,defer,55,954,defer
485,allow,48,669,allow
486,floor,31,17,-
486,defer,46,314,defer
486,allow,47,252,allow
487,floor,28,29,-
487,defer,49,862,defer
487,allow,47,08,allow
488,floor,28,696,-
488,defer,50,469,defer
488,allow,47,764,allow
489,floor,29,096,-
489,defer,49,672,defer
489,allow,47,668,allow
490,floor,28,248,-
490,defer,46,36,defer
490,allow,361,447,allow
491,floor,28,143,-
491,defer,48,83,defer
491,allow,47,472,allow
492,floor,28,478,-
492,defer,48,404,defer
492,allow,47,859,allow
493,floor,27,949,-
493,defer,50,339,defer
493,allow,46,416,allow
494,floor,36,493,-
494,defer,58,83,defer
494,allow,61,836,allow
495,floor,28,567,-
495,defer,48,636,defer
495,allow,48,666,allow
496,floor,28,347,-
496,defer,51,665,defer
496,allow,47,211,allow
497,floor,27,754,-
497,defer,51,547,defer
497,allow,63,182,allow
498,floor,29,478,-
498,defer,45,994,defer
498,allow,48,313,allow
499,floor,27,732,-
499,defer,50,48,defer
499,allow,46,759,allow
500,floor,28,629,-
500,defer,50,381,defer
500,allow,47,163,allow
501,floor,28,626,-
501,defer,49,528,defer
501,allow,46,94,allow
502,floor,29,051,-
502,defer,48,899,defer
502,allow,47,388,allow
503,floor,31,793,-
503,defer,362,664,defer
503,allow,48,328,allow
504,floor,29,458,-
504,defer,46,855,defer
504,allow,48,902,allow
505,floor,29,383,-
505,defer,47,375,defer
505,allow,48,632,allow
506,floor,29,815,-
506,defer,47,611,defer
506,allow,48,256,allow
507,floor,29,753,-
507,defer,47,68,defer
507,allow,48,74,allow
508,floor,29,702,-
508,defer,67,114,defer
508,allow,60,936,allow
509,floor,30,216,-
509,defer,46,913,defer
509,allow,350,931,allow
510,floor,36,346,-
510,defer,55,858,defer
510,allow,48,742,allow
511,floor,30,701,-
511,defer,62,614,defer
511,allow,47,812,allow
512,floor,30,171,-
512,defer,62,384,defer
512,allow,48,41,allow
513,floor,30,766,-
513,defer,64,959,defer
513,allow,61,481,allow
514,floor,31,025,-
514,defer,61,185,defer
514,allow,48,33,allow
515,floor,38,942,-
515,defer,55,105,defer
515,allow,60,866,allow
516,floor,28,659,-
516,defer,48,771,defer
516,allow,48,763,allow
517,floor,28,929,-
517,defer,48,347,defer
517,allow,48,951,allow
518,floor,29,382,-
518,defer,48,22,defer
518,allow,47,959,allow
519,floor,28,414,-
519,defer,49,908,defer
519,allow,47,835,allow
520,floor,28,416,-
520,defer,48,842,defer
520,allow,64,711,allow
521,floor,30,886,-
521,defer,47,044,defer
521,allow,62,136,allow
522,floor,324,98,-
522,defer,52,191,defer
522,allow,47,086,allow
523,floor,29,036,-
523,defer,49,608,defer
523,allow,47,772,allow
524,floor,29,302,-
524,defer,50,875,defer
524,allow,47,671,allow
525,floor,37,034,-
525,defer,57,775,defer
525,allow,63,77,allow
526,floor,32,531,-
526,defer,59,683,defer
526,allow,48,603,allow
527,floor,29,118,-
527,defer,48,83,defer
527,allow,64,558,allow
528,floor,31,178,-
528,defer,346,425,defer
528,allow,48,113,allow
529,floor,28,507,-
529,defer,51,625,defer
529,allow,46,253,allow
530,floor,29,005,-
530,defer,49,166,defer
530,allow,48,902,allow
531,floor,29,561,-
531,defer,62,246,defer
531,allow,345,116,allow
532,floor,28,509,-
532,defer,50,284,defer
532,allow,47,198,allow
533,floor,28,429,-
533,defer,50,63,defer
533,allow,46,487,allow
534,floor,28,498,-
534,defer,50,408,defer
534,allow,48,373,allow
535,floor,28,376,-
535,defer,49,963,defer
535,allow,47,442,allow
536,floor,29,142,-
536,defer,51,002,defer
536,allow,61,665,allow
537,floor,28,763,-
537,defer,49,602,defer
537,allow,46,121,allow
538,floor,28,133,-
538,defer,51,217,defer
538,allow,48,859,allow
539,floor,30,476,-
539,defer,46,226,defer
539,allow,47,225,allow
540,floor,28,663,-
540,defer,51,605,defer
540,allow,47,576,allow
541,floor,28,13,-
541,defer,54,262,defer
541,allow,57,883,allow
542,floor,29,075,-
542,defer,48,43,defer
542,allow,347,714,allow
543,floor,30,868,-
543,defer,63,915,defer
543,allow,63,657,allow
544,floor,32,653,-
544,defer,60,364,defer
544,allow,47,03,allow
545,floor,28,208,-
545,defer,49,161,defer
545,allow,47,546,allow
546,floor,28,961,-
546,defer,49,689,defer
546,allow,46,182,allow
547,floor,33,957,-
547,defer,60,388,defer
547,allow,48,96,allow
548,floor,320,282,-
548,defer,56,349,defer
548,allow,48,428,allow
549,floor,29,857,-
549,defer,51,691,defer
549,allow,60,244,allow
550,floor,28,832,-
550,defer,51,2,defer
550,allow,45,939,allow
551,floor,28,855,-
551,defer,48,399,defer
551,allow,48,132,allow
552,floor,28,599,-
552,defer,49,118,defer
552,allow,47,902,allow
553,floor,29,024,-
553,defer,50,148,defer
553,allow,48,633,allow
554,floor,36,545,-
554,defer,58,137,defer
554,allow,62,241,allow
555,floor,28,647,-
555,defer,49,531,defer
555,allow,47,165,allow
556,floor,28,286,-
556,defer,50,695,defer
556,allow,49,327,allow
557,floor,30,663,-
557,defer,46,617,defer
557,allow,48,567,allow
558,floor,28,686,-
558,defer,49,033,defer
558,allow,47,984,allow
559,floor,27,973,-
559,defer,49,787,defer
559,allow,48,126,allow
560,floor,28,8,-
560,defer,349,359,defer
560,allow,61,668,allow
561,floor,27,8,-
561,defer,50,132,defer
561,allow,47,731,allow
562,floor,32,255,-
562,defer,60,438,defer
562,allow,64,317,allow
563,floor,31,339,-
563,defer,60,658,defer
563,allow,46,811,allow
564,floor,28,942,-
564,defer,50,543,defer
564,allow,46,857,allow
565,floor,28,852,-
565,defer,49,446,defer
565,allow,46,416,allow
566,floor,28,952,-
566,defer,50,124,defer
566,allow,378,893,allow
567,floor,31,378,-
567,defer,61,746,defer
567,allow,48,334,allow
568,floor,30,648,-
568,defer,46,894,defer
568,allow,49,119,allow
569,floor,28,368,-
569,defer,49,627,defer
569,allow,349,245,allow
570,floor,29,459,-
570,defer,50,696,defer
570,allow,62,17,allow
571,floor,28,991,-
571,defer,50,023,defer
571,allow,64,209,allow
572,floor,29,862,-
572,defer,62,23,defer
572,allow,47,686,allow
573,floor,29,211,-
573,defer,49,666,defer
573,allow,47,602,allow
574,floor,29,035,-
574,defer,50,176,defer
574,allow,48,292,allow
575,floor,28,556,-
575,defer,49,586,defer
575,allow,47,154,allow
576,floor,28,437,-
576,defer,51,087,defer
576,allow,46,776,allow
577,floor,29,101,-
577,defer,48,133,defer
577,allow,61,747,allow
578,floor,29,056,-
578,defer,48,326,defer
578,allow,46,498,allow
579,floor,28,822,-
579,defer,50,009,defer
579,allow,64,072,allow
580,floor,31,766,-
580,defer,61,366,defer
580,allow,330,729,allow
581,floor,29,311,-
581,defer,49,568,defer
581,allow,47,798,allow
582,floor,28,415,-
582,defer,50,665,defer
582,allow,47,041,allow
583,floor,37,224,-
583,defer,56,723,defer
583,allow,62,602,allow
584,floor,29,461,-
584,defer,47,762,defer
584,allow,48,026,allow
585,floor,31,063,-
585,defer,48,291,defer
585,allow,63,428,allow
586,floor,28,874,-
586,defer,332,913,defer
586,allow,47,9,allow
587,floor,28,407,-
587,defer,50,695,defer
587,allow,47,858,allow
588,floor,28,712,-
588,defer,50,254,defer
588,allow,49,645,allow
589,floor,29,258,-
589,defer,46,414,defer
589,allow,48,256,allow
590,floor,28,761,-
590,defer,50,562,defer
590,allow,62,47,allow
591,floor,28,369,-
591,defer,49,094,defer
591,allow,48,628,allow
592,floor,28,306,-
592,defer,48,902,defer
592,allow,46,828,allow
593,floor,28,886,-
593,defer,50,642,defer
593,allow,46,939,allow
594,floor,28,581,-
594,defer,50,184,defer
594,allow,47,496,allow
595,floor,30,224,-
595,defer,48,426,defer
595,allow,60,679,allow
596,floor,29,937,-
596,defer,46,964,defer
596,allow,47,851,allow
597,floor,33,193,-
597,defer,59,45,defer
597,allow,47,269,allow
598,floor,32,333,-
598,defer,363,158,defer
598,allow,48,448,allow
599,floor,28,905,-
599,defer,48,724,defer
599,allow,46,694,allow
600,floor,29,001,-
600,defer,49,764,defer
600,allow,47,536,allow
601,floor,29,033,-
601,defer,48,266,defer
601,allow,49,01,allow
602,floor,29,856,-
602,defer,48,638,defer
602,allow,62,306,allow
603,floor,30,94,-
603,defer,63,263,defer
603,allow,64,943,allow
604,floor,32,793,-
604,defer,58,198,defer
604,allow,332,95,allow
605,floor,28,99,-
605,defer,47,591,defer
605,allow,48,379,allow
606,floor,28,324,-
606,defer,50,285,defer
606,allow,47,649,allow
607,floor,29,034,-
607,defer,50,686,defer
607,allow,63,229,allow
608,floor,326,453,-
608,defer,52,333,defer
608,allow,46,745,allow
609,floor,28,469,-
609,defer,50,892,defer
609,allow,47,38,allow
610,floor,28,859,-
610,defer,49,867,defer
610,allow,47,881,allow
611,floor,29,189,-
611,defer,48,259,defer
611,allow,47,789,allow
612,floor,37,127,-
612,defer,57,561,defer
612,allow,47,285,allow
613,floor,29,379,-
613,defer,48,512,defer
613,allow,48,354,allow
614,floor,30,512,-
614,defer,60,495,defer
614,allow,47,789,allow
615,floor,29,33,-
615,defer,50,882,defer
615,allow,57,636,allow
616,floor,29,471,-
616,defer,47,984,defer
616,allow,49,611,allow
617,floor,30,984,-
617,defer,61,702,defer
617,allow,62,336,allow
618,floor,30,987,-
618,defer,46,698,defer
618,allow,47,833,allow
619,floor,338,061,-
619,defer,54,643,defer
619,allow,46,415,allow
620,floor,28,724,-
620,defer,49,603,defer
620,allow,47,399,allow
621,floor,28,529,-
621,defer,49,422,defer
621,allow,46,608,allow
622,floor,28,709,-
622,defer,49,471,defer
622,allow,47,716,allow
623,floor,29,246,-
623,defer,48,48,defer
623,allow,46,435,allow
624,floor,28,958,-
624,defer,49,836,defer
624,allow,347,265,allow
625,floor,31,204,-
625,defer,45,706,defer
625,allow,48,056,allow
626,floor,28,846,-
626,defer,48,905,defer
626,allow,62,35,allow
627,floor,32,797,-
627,defer,59,508,defer
627,allow,45,692,allow
628,floor,29,433,-
628,defer,48,776,defer
628,allow,47,487,allow
629,floor,28,774,-
629,defer,50,006,defer
629,allow,47,822,allow
630,floor,28,804,-
630,defer,48,407,defer
630,allow,49,054,allow
631,floor,30,281,-
631,defer,62,115,defer
631,allow,46,996,allow
632,floor,30,379,-
632,defer,63,577,defer
632,allow,45,847,allow
633,floor,28,198,-
633,defer,53,523,defer
633,allow,61,68,allow
634,floor,29,051,-
634,defer,48,581,defer
634,allow,47,215,allow
635,floor,35,409,-
635,defer,60,277,defer
635,allow,46,748,allow
636,floor,28,624,-
636,defer,64,645,defer
636,allow,332,325,allow
637,floor,30,08,-
637,defer,49,465,defer
637,allow,62,977,allow
638,floor,28,11,-
638,defer,48,178,defer
638,allow,60,957,allow
639,floor,28,506,-
639,defer,48,829,defer
639,allow,49,076,allow
640,floor,29,131,-
640,defer,47,591,defer
640,allow,46,682,allow
641,floor,28,596,-
641,defer,49,016,defer
641,allow,47,516,allow
642,floor,42,472,-
642,defer,51,991,defer
642,allow,46,688,allow
643,floor,370,988,-
643,defer,53,676,defer
643,allow,48,41,allow
644,floor,29,066,-
644,defer,49,424,defer
644,allow,46,795,allow
645,floor,28,706,-
645,defer,50,394,defer
645,allow,47,578,allow
646,floor,28,143,-
646,defer,48,173,defer
646,allow,48,084,allow
647,floor,27,888,-
647,defer,50,924,defer
647,allow,48,294,allow
648,floor,28,178,-
648,defer,49,44,defer
648,allow,62,313,allow
649,floor,29,384,-
649,defer,47,596,defer
649,allow,63,258,allow
650,floor,35,287,-
650,defer,62,477,defer
650,allow,59,032,allow
651,floor,28,927,-
651,defer,49,54,defer
651,allow,48,131,allow
652,floor,28,241,-
652,defer,48,615,defer
652,allow,46,78,allow
653,floor,28,756,-
653,defer,48,961,defer
653,allow,47,979,allow
654,floor,33,514,-
654,defer,59,588,defer
654,allow,47,592,allow
655,floor,28,575,-
655,defer,50,596,defer
655,allow,348,854,allow
656,floor,28,94,-
656,defer,48,272,defer
656,allow,48,275,allow
657,floor,28,64,-
657,defer,49,268,defer
657,allow,46,694,allow
658,floor,28,093,-
658,defer,51,093,defer
658,allow,47,687,allow
659,floor,28,17,-
659,defer,49,433,defer
659,allow,62,15,allow
660,floor,30,094,-
660,defer,48,637,defer
660,allow,48,485,allow
661,floor,28,89,-
661,defer,49,974,defer
661,allow,61,718,allow
662,floor,343,182,-
662,defer,60,864,defer
662,allow,46,736,allow
663,floor,28,807,-
663,defer,50,358,defer
663,allow,47,913,allow
664,floor,30,102,-
664,defer,48,401,defer
664,allow,46,514,allow
665,floor,28,476,-
665,defer,48,921,defer
665,allow,47,324,allow
666,floor,28,918,-
666,defer,46,729,defer
666,allow,48,761,allow
667,floor,32,91,-
667,defer,59,545,defer
667,allow,49,344,allow
668,floor,30,119,-
668,defer,59,746,defer
668,allow,48,238,allow
669,floor,29,293,-
669,defer,48,13,defer
669,allow,47,27,allow
670,floor,28,582,-
670,defer,48,647,defer
670,allow,47,994,allow
671,floor,28,938,-
671,defer,49,119,defer
671,allow,47,687,allow
672,floor,29,09,-
672,defer,48,191,defer
672,allow,46,962,allow
673,floor,28,838,-
673,defer,48,976,defer
673,allow,47,599,allow
674,floor,29,862,-
674,defer,366,806,defer
674,allow,46,989,allow
675,floor,37,418,-
675,defer,56,098,defer
675,allow,46,593,allow
676,floor,28,886,-
676,defer,50,623,defer
676,allow,47,643,allow
677,floor,28,586,-
677,defer,50,469,defer
677,allow,46,956,allow
678,floor,28,64,-
678,defer,49,508,defer
678,allow,50,554,allow
679,floor,28,748,-
679,defer,48,2,defer
679,allow,48,084,allow
680,floor,30,206,-
680,defer,48,982,defer
680,allow,343,284,allow
681,floor,29,826,-
681,defer,50,892,defer
681,allow,46,783,allow
682,floor,28,404,-
682,defer,51,174,defer
682,allow,47,194,allow
683,floor,30,008,-
683,defer,50,305,defer
683,allow,395,633,allow
684,floor,31,502,-
684,defer,61,774,defer
684,allow,46,409,allow
685,floor,30,542,-
685,defer,49,408,defer
685,allow,62,764,allow
686,floor,28,947,-
686,defer,49,524,defer
686,allow,47,521,allow
687,floor,28,658,-
687,defer,46,897,defer
687,allow,48,262,allow
688,floor,28,724,-
688,defer,49,925,defer
688,allow,47,734,allow
689,floor,28,757,-
689,defer,49,584,defer
689,allow,47,836,allow
690,floor,29,13,-
690,defer,52,306,defer
690,allow,59,342,allow
691,floor,29,037,-
691,defer,49,038,defer
691,allow,63,134,allow
692,floor,28,848,-
692,defer,51,586,defer
692,allow,61,051,allow
693,floor,28,341,-
693,defer,49,554,defer
693,allow,62,921,allow
694,floor,28,389,-
694,defer,50,706,defer
694,allow,48,422,allow
695,floor,311,201,-
695,defer,48,504,defer
695,allow,48,102,allow
696,floor,29,02,-
696,defer,50,394,defer
696,allow,63,289,allow
697,floor,30,97,-
697,defer,48,796,defer
697,allow,47,218,allow
698,floor,28,789,-
698,defer,47,268,defer
698,allow,48,412,allow
699,floor,29,174,-
699,defer,48,92,defer
699,allow,47,752,allow
700,floor,29,019,-
700,defer,48,523,defer
700,allow,49,336,allow
701,floor,310,497,-
701,defer,50,728,defer
701,allow,48,595,allow
702,floor,36,931,-
702,defer,59,34,defer
702,allow,62,29,allow
703,floor,29,601,-
703,defer,47,586,defer
703,allow,47,964,allow
704,floor,37,241,-
704,defer,57,741,defer
704,allow,46,785,allow
705,floor,28,433,-
705,defer,51,005,defer
705,allow,46,523,allow
706,floor,28,618,-
706,defer,50,644,defer
706,allow,47,597,allow
707,floor,29,827,-
707,defer,63,186,defer
707,allow,47,078,allow
708,floor,29,429,-
708,defer,49,333,defer
708,allow,47,103,allow
709,floor,30,875,-
709,defer,63,861,defer
709,allow,61,402,allow
710,floor,33,105,-
710,defer,59,749,defer
710,allow,62,616,allow
711,floor,29,936,-
711,defer,48,166,defer
711,allow,46,978,allow
712,floor,29,22,-
712,defer,49,541,defer
712,allow,46,874,allow
713,floor,28,561,-
713,defer,333,232,defer
713,allow,47,77,allow
714,floor,28,411,-
714,defer,49,428,defer
714,allow,64,604,allow
715,floor,32,597,-
715,defer,60,441,defer
715,allow,48,6,allow
716,floor,28,673,-
716,defer,48,028,defer
716,allow,48,178,allow
717,floor,28,334,-
717,defer,50,425,defer
717,allow,48,208,allow
718,floor,28,831,-
718,defer,50,245,defer
718,allow,48,372,allow
719,floor,29,761,-
719,defer,49,142,defer
719,allow,367,726,allow
720,floor,32,41,-
720,defer,59,243,defer
720,allow,51,384,allow
721,floor,30,644,-
721,defer,61,029,defer
721,allow,46,582,allow
722,floor,29,614,-
722,defer,48,368,defer
722,allow,63,64,allow
723,floor,30,026,-
723,defer,49,411,defer
723,allow,50,657,allow
724,floor,29,287,-
724,defer,46,027,defer
724,allow,47,577,allow
725,floor,30,717,-
725,defer,62,416,defer
725,allow,46,956,allow
726,floor,28,989,-
726,defer,48,514,defer
726,allow,47,461,allow
727,floor,30,052,-
727,defer,66,829,defer
727,allow,62,634,allow
728,floor,28,702,-
728,defer,52,985,defer
728,allow,58,669,allow
729,floor,28,7,-
729,defer,50,292,defer
729,allow,47,09,allow
730,floor,28,829,-
730,defer,51,104,defer
730,allow,47,015,allow
731,floor,28,418,-
731,defer,50,145,defer
731,allow,47,488,allow
732,floor,312,25,-
732,defer,48,797,defer
732,allow,62,961,allow
733,floor,29,961,-
733,defer,48,212,defer
733,allow,47,399,allow
734,floor,28,694,-
734,defer,52,246,defer
734,allow,61,008,allow
735,floor,37,042,-
735,defer,54,704,defer
735,allow,47,282,allow
736,floor,30,1,-
736,defer,66,308,defer
736,allow,60,454,allow
737,floor,28,668,-
737,defer,50,697,defer
737,allow,48,099,allow
738,floor,30,36,-
738,defer,377,965,defer
738,allow,62,004,allow
739,floor,29,791,-
739,defer,47,261,defer
739,allow,50,294,allow
740,floor,29,646,-
740,defer,46,5,defer
740,allow,47,656,allow
741,floor,28,941,-
741,defer,48,945,defer
741,allow,64,268,allow
742,floor,30,976,-
742,defer,63,122,defer
742,allow,63,882,allow
743,floor,31,049,-
743,defer,63,023,defer
743,allow,47,875,allow
744,floor,29,779,-
744,defer,65,108,defer
744,allow,60,184,allow
745,floor,31,609,-
745,defer,62,323,defer
745,allow,62,193,allow
746,floor,28,43,-
746,defer,50,026,defer
746,allow,48,037,allow
747,floor,33,892,-
747,defer,61,196,defer
747,allow,47,1,allow
748,floor,28,05,-
748,defer,51,183,defer
748,allow,47,019,allow
749,floor,28,237,-
749,defer,49,372,defer
749,allow,47,749,allow
750,floor,28,509,-
750,defer,50,471,defer
750,allow,346,406,allow
751,floor,28,115,-
751,defer,49,177,defer
751,allow,47,992,allow
752,floor,29,466,-
752,defer,47,293,defer
752,allow,64,129,allow
753,floor,28,823,-
753,defer,49,718,defer
753,allow,46,758,allow
754,floor,28,465,-
754,defer,48,916,defer
754,allow,48,393,allow
755,floor,27,988,-
755,defer,51,204,defer
755,allow,47,114,allow
756,floor,28,366,-
756,defer,48,448,defer
756,allow,48,92,allow
757,floor,353,452,-
757,defer,53,908,defer
757,allow,46,353,allow
758,floor,28,663,-
758,defer,52,84,defer
758,allow,59,902,allow
759,floor,28,598,-
759,defer,49,971,defer
759,allow,47,217,allow
760,floor,28,525,-
760,defer,49,179,defer
760,allow,48,909,allow
761,floor,28,374,-
761,defer,49,71,defer
761,allow,48,231,allow
762,floor,28,144,-
762,defer,52,634,defer
762,allow,60,717,allow
763,floor,30,25,-
763,defer,48,234,defer
763,allow,47,813,allow
764,floor,28,152,-
764,defer,51,056,defer
764,allow,47,882,allow
765,floor,28,513,-
765,defer,49,47,defer
765,allow,48,378,allow
766,floor,37,677,-
766,defer,57,758,defer
766,allow,61,186,allow
767,floor,39,971,-
767,defer,58,501,defer
767,allow,62,788,allow
768,floor,33,3,-
768,defer,56,925,defer
768,allow,46,856,allow
769,floor,28,259,-
769,defer,51,08,defer
769,allow,344,171,allow
770,floor,29,216,-
770,defer,48,019,defer
770,allow,48,47,allow
771,floor,28,431,-
771,defer,49,348,defer
771,allow,63,339,allow
772,floor,29,592,-
772,defer,50,478,defer
772,allow,63,359,allow
773,floor,29,741,-
773,defer,62,292,defer
773,allow,63,964,allow
774,floor,29,942,-
774,defer,63,391,defer
774,allow,64,444,allow
775,floor,37,395,-
775,defer,54,698,defer
775,allow,47,439,allow
776,floor,319,525,-
776,defer,45,881,defer
776,allow,48,626,allow
777,floor,28,413,-
777,defer,48,578,defer
777,allow,47,093,allow
778,floor,28,294,-
778,defer,49,23,defer
778,allow,48,89,allow
779,floor,28,396,-
779,defer,365,311,defer
779,allow,59,878,allow
780,floor,28,669,-
780,defer,49,299,defer
780,allow,62,943,allow
781,floor,28,176,-
781,defer,49,239,defer
781,allow,47,704,allow
782,floor,30,157,-
782,defer,49,671,defer
782,allow,61,816,allow
783,floor,28,875,-
783,defer,47,345,defer
783,allow,48,739,allow
784,floor,28,465,-
784,defer,48,277,defer
784,allow,48,464,allow
785,floor,30,353,-
785,defer,62,283,defer
785,allow,64,001,allow
786,floor,31,086,-
786,defer,46,201,defer
786,allow,47,085,allow
787,floor,29,437,-
787,defer,46,678,defer
787,allow,48,354,allow
788,floor,28,867,-
788,defer,48,189,defer
788,allow,47,714,allow
789,floor,28,559,-
789,defer,50,151,defer
789,allow,48,195,allow
790,floor,28,868,-
790,defer,347,418,defer
790,allow,65,383,allow
791,floor,31,258,-
791,defer,60,623,defer
791,allow,49,476,allow
792,floor,29,799,-
792,defer,46,399,defer
792,allow,62,372,allow
793,floor,29,499,-
793,defer,48,449,defer
793,allow,47,786,allow
794,floor,37,067,-
794,defer,55,598,defer
794,allow,47,829,allow
795,floor,30,704,-
795,defer,46,575,defer
795,allow,47,332,allow
796,floor,323,145,-
796,defer,52,65,defer
796,allow,62,596,allow
797,floor,28,838,-
797,defer,46,624,defer
