iter,scenario,ms
517,defer,26,939
517,allow,27,347
518,floor,26,947
518,defer,28,961
518,allow,28,17
519,floor,26,286
519,defer,26,787
519,allow,28,981
520,floor,27,024
520,defer,29,647
520,allow,29,184
521,floor,25,912
521,defer,27,36
521,allow,28,777
522,floor,26,155
522,defer,27,481
522,allow,28,156
523,floor,37,196
523,defer,28,943
523,allow,27,887
524,floor,27,391
524,defer,29,216
524,allow,28,369
525,floor,26,63
525,defer,28,818
525,allow,28,476
526,floor,26,748
526,defer,183,782
526,allow,27,539
527,floor,26,557
527,defer,27,735
527,allow,27,563
528,floor,26,864
528,defer,29,058
528,allow,30,174
529,floor,27,317
529,defer,28,368
529,allow,29,483
530,floor,27,096
530,defer,27,502
530,allow,28,333
531,floor,28,139
531,defer,28,181
531,allow,28,747
532,floor,27,268
532,defer,189,255
532,allow,30,558
533,floor,29,854
533,defer,28,995
533,allow,30,582
534,floor,27,337
534,defer,28,413
534,allow,291,074
535,floor,28,916
535,defer,28,13
535,allow,27,531
536,floor,26,23
536,defer,27,053
536,allow,184,593
537,floor,27,772
537,defer,28,621
537,allow,180,744
538,floor,184,958
538,defer,26,822
538,allow,179,771
539,floor,183,84
539,defer,337,578
539,allow,29,51
540,floor,26,491
540,defer,30,469
540,allow,28,594
541,floor,26,404
541,defer,28,572
541,allow,27,244
542,floor,25,428
542,defer,29,485
542,allow,30,129
543,floor,27,2
543,defer,27,971
543,allow,28,341
544,floor,27,374
544,defer,27,586
544,allow,29,417
545,floor,27,502
545,defer,26,791
545,allow,27,658
546,floor,185,204
546,defer,27,605
546,allow,28,201
547,floor,26,138
547,defer,27,996
547,allow,27,757
548,floor,26,39
548,defer,27,495
548,allow,28,163
549,floor,29,147
549,defer,29,876
549,allow,28,919
550,floor,184,916
550,defer,27,066
550,allow,26,995
551,floor,25,933
551,defer,29,25
551,allow,27,802
552,floor,26,8
552,defer,27,024
552,allow,38,652
553,floor,27,152
553,defer,27,25
553,allow,27,728
554,floor,26,832
554,defer,27,857
554,allow,27,23
555,floor,26,232
555,defer,27,271
555,allow,27,766
556,floor,26,721
556,defer,27,523
556,allow,28,952
557,floor,26,055
557,defer,26,798
557,allow,27,747
558,floor,26,206
558,defer,26,856
558,allow,27,54
559,floor,36,267
559,defer,27,247
559,allow,28,995
560,floor,27,377
560,defer,30,077
560,allow,29,032
561,floor,27,103
561,defer,27,588
561,allow,27,287
562,floor,26,491
562,defer,26,552
562,allow,28,043
563,floor,25,74
563,defer,27,423
563,allow,30,165
564,floor,26,279
564,defer,27,383
564,allow,28,32
565,floor,26,384
565,defer,27,653
565,allow,30,062
566,floor,29,329
566,defer,33,074
566,allow,30,023
567,floor,28,013
567,defer,29,96
567,allow,29,812
568,floor,29,126
568,defer,27,262
568,allow,29,543
569,floor,28,624
569,defer,193,078
569,allow,27,997
570,floor,31,186
570,defer,29,2
570,allow,29,166
571,floor,28,606
571,defer,29,294
571,allow,30,333
572,floor,27,913
572,defer,28,569
572,allow,29,633
573,floor,28,096
573,defer,27,642
573,allow,27,839
574,floor,27,976
574,defer,29,944
574,allow,29,025
575,floor,28,068
575,defer,28,416
575,allow,28,607
576,floor,27,854
576,defer,29,498
576,allow,29,496
577,floor,27,078
577,defer,28,91
577,allow,31,804
578,floor,28,473
578,defer,30,114
578,allow,30,421
579,floor,30,148
579,defer,29,016
579,allow,28,887
580,floor,206,419
580,defer,28,313
580,allow,30,303
581,floor,28,654
581,defer,28,825
581,allow,29,343
582,floor,28,715
582,defer,29,17
582,allow,28,718
583,floor,27,261
583,defer,28,131
583,allow,27,184
584,floor,26,248
584,defer,29,814
584,allow,29,031
585,floor,28,046
585,defer,29,487
585,allow,29,264
586,floor,172,805
586,defer,29,931
586,allow,29,801
587,floor,29,508
587,defer,27,421
587,allow,27,686
588,floor,28,048
588,defer,30,321
588,allow,29,363
589,floor,28,299
589,defer,186,547
589,allow,28,624
590,floor,27,557
590,defer,28,393
590,allow,29,072
591,floor,27,257
591,defer,180,809
591,allow,29,272
592,floor,31,568
592,defer,185,971
592,allow,190,13
593,floor,337,96
593,defer,28,639
593,allow,28,453
594,floor,27,458
594,defer,38,909
594,allow,27,898
595,floor,29,024
595,defer,32,852
595,allow,34,281
596,floor,36,923
596,defer,37,342
596,allow,36,538
597,floor,32,756
597,defer,31,272
597,allow,30,303
598,floor,30,129
598,defer,31,108
598,allow,30,535
599,floor,27,65
599,defer,27,365
599,allow,29,247
600,floor,198,987
600,defer,28,051
600,allow,28,259
601,floor,28,356
601,defer,30,247
601,allow,30,448
602,floor,28,105
602,defer,29,344
602,allow,29,379
603,floor,27,194
603,defer,27,768
603,allow,27,056
604,floor,27,644
604,defer,29,092
604,allow,29,738
605,floor,27,623
605,defer,29,183
605,allow,29,321
606,floor,26,964
606,defer,28,264
606,allow,27,687
607,floor,29,098
607,defer,36,489
607,allow,31,367
608,floor,28,047
608,defer,30,03
608,allow,28,4
609,floor,29,164
609,defer,29,768
609,allow,32,341
610,floor,30,423
610,defer,29,65
610,allow,34,237
611,floor,29,787
611,defer,33,331
611,allow,27,817
612,floor,26,979
612,defer,28,913
612,allow,29,812
613,floor,28,12
613,defer,28,983
613,allow,29,61
614,floor,27,516
614,defer,28,296
614,allow,28,488
615,floor,27,534
615,defer,33,002
615,allow,30,143
616,floor,27,376
616,defer,28,919
616,allow,30,541
617,floor,28,582
617,defer,27,289
617,allow,28,083
618,floor,27,695
618,defer,28,836
618,allow,29,866
619,floor,29,879
619,defer,195,094
619,allow,30,399
620,floor,31,973
620,defer,30,44
620,allow,29,993
621,floor,26,338
621,defer,27,142
621,allow,29,552
622,floor,28,247
622,defer,29,193
622,allow,29,517
623,floor,28,579
623,defer,28,817
623,allow,28,395
624,floor,26,111
624,defer,27,601
624,allow,28,755
625,floor,27,925
625,defer,32,598
625,allow,31,173
626,floor,28,33
626,defer,28,723
626,allow,27,961
627,floor,26,624
627,defer,27,966
627,allow,29,811
628,floor,29,063
628,defer,32,214
628,allow,30,564
629,floor,28,387
629,defer,28,774
629,allow,28,198
630,floor,27,373
630,defer,30,698
630,allow,31,642
631,floor,30,353
631,defer,30,754
631,allow,190,36
632,floor,28,521
632,defer,30,209
632,allow,30,337
633,floor,28,447
633,defer,27,606
633,allow,27,234
634,floor,26,247
634,defer,28,113
634,allow,29,534
635,floor,28,969
635,defer,29,919
635,allow,30,095
636,floor,28,359
636,defer,27,157
636,allow,27,172
637,floor,26,869
637,defer,28,976
637,allow,30,188
638,floor,29,116
638,defer,28,723
638,allow,199,263
639,floor,31,954
639,defer,30,3
639,allow,30,175
640,floor,28,945
640,defer,27,652
640,allow,27,647
641,floor,27,222
641,defer,29,103
641,allow,28,814
642,floor,29,182
642,defer,200,336
642,allow,27,749
643,floor,26,12
643,defer,30,72
643,allow,27,878
644,floor,26,438
644,defer,190,877
644,allow,28,173
645,floor,26,573
645,defer,28,135
645,allow,179,622
646,floor,35,248
646,defer,178,838
646,allow,182,076
647,floor,323,2
647,defer,27,291
647,allow,28,229
648,floor,26,817
648,defer,28,818
648,allow,29,375
649,floor,27,853
649,defer,27,296
649,allow,28,508
650,floor,27,802
650,defer,28,219
650,allow,27,625
651,floor,26,273
651,defer,28,637
651,allow,27,969
652,floor,27,016
652,defer,28,654
652,allow,28,108
653,floor,26,655
653,defer,27,937
653,allow,27,414
654,floor,181,89
654,defer,26,92
654,allow,27,568
655,floor,26,274
655,defer,27,81
655,allow,27,21
656,floor,26,045
656,defer,27,46
656,allow,29,694
657,floor,26,655
657,defer,28,195
657,allow,27,465
658,floor,26,285
658,defer,27,066
658,allow,27,986
659,floor,28,14
659,defer,28,867
659,allow,27,109
660,floor,29,533
660,defer,28,212
660,allow,27,185
661,floor,28,261
661,defer,26,976
661,allow,27,116
662,floor,26,608
662,defer,28,103
662,allow,26,451
663,floor,26,288
663,defer,27,684
663,allow,27,89
664,floor,26,795
664,defer,27,493
664,allow,27,779
665,floor,27,253
665,defer,26,54
665,allow,27,476
666,floor,26,968
666,defer,28,06
666,allow,27,888
667,floor,27,334
667,defer,30,844
667,allow,31,713
668,floor,27,276
668,defer,27,713
668,allow,29,843
669,floor,26,749
669,defer,28,579
669,allow,27,707
670,floor,26,634
670,defer,27,957
670,allow,29,308
671,floor,27,568
671,defer,28,282
671,allow,29,059
672,floor,27,517
672,defer,28,969
672,allow,27,744
673,floor,25,441
673,defer,27,552
673,allow,27,51
674,floor,26,053
674,defer,28,746
674,allow,28,728
675,floor,173,181
675,defer,27,107
675,allow,27,398
676,floor,26,003
676,defer,27,568
676,allow,27,233
677,floor,26,149
677,defer,27,424
677,allow,28,155
678,floor,26,622
678,defer,29,609
678,allow,28,185
679,floor,27,903
679,defer,27,467
679,allow,29,669
680,floor,28,541
680,defer,27,162
680,allow,28,846
681,floor,28,433
681,defer,29,724
681,allow,29,171
682,floor,29,497
682,defer,28,822
682,allow,28,103
683,floor,26,33
683,defer,27,885
683,allow,29,038
684,floor,25,963
684,defer,27,189
684,allow,27,272
685,floor,26,651
685,defer,27,433
685,allow,28,104
686,floor,26,41
686,defer,186,301
686,allow,38,964
687,floor,25,814
687,defer,27,252
687,allow,27,559
688,floor,26,494
688,defer,28,335
688,allow,26,901
689,floor,26,24
689,defer,28,551
689,allow,28,74
690,floor,26,355
690,defer,28,308
690,allow,30,042
691,floor,28,509
691,defer,29,904
691,allow,28,469
692,floor,27,13
692,defer,27,616
692,allow,27,858
693,floor,171,176
693,defer,27,605
693,allow,27,506
694,floor,26,922
694,defer,27,168
694,allow,27,18
695,floor,26,482
695,defer,27,668
695,allow,27,404
696,floor,26,281
696,defer,27,255
696,allow,182,632
697,floor,26,769
697,defer,26,182
697,allow,27,861
698,floor,26,373
698,defer,27,713
698,allow,188,738
699,floor,26,987
699,defer,28,976
699,allow,184,327
700,floor,26,128
700,defer,183,186
700,allow,184,087
701,floor,487,409
701,defer,28,072
701,allow,28,584
702,floor,27,233
702,defer,28,719
702,allow,27,146
703,floor,27,011
703,defer,28,158
703,allow,27,842
704,floor,27,791
704,defer,27,068
704,allow,27,5
705,floor,27,162
705,defer,27,438
705,allow,27,334
706,floor,25,984
706,defer,29,068
706,allow,27,37
707,floor,26,604
707,defer,27,812
707,allow,28,296
708,floor,182,256
708,defer,29,622
708,allow,28,835
709,floor,26,99
709,defer,28,902
709,allow,30,86
710,floor,27,687
710,defer,27,588
710,allow,28,098
711,floor,26,473
711,defer,27,909
711,allow,27,73
712,floor,27,553
712,defer,28,256
712,allow,28,098
713,floor,26,832
713,defer,28,19
713,allow,27,179
714,floor,25,908
714,defer,28,063
714,allow,28,011
715,floor,26,475
715,defer,27,525
715,allow,27,661
716,floor,26,881
716,defer,27,599
716,allow,27,607
717,floor,26,916
717,defer,27,22
717,allow,29,145
718,floor,26,568
718,defer,27,388
718,allow,27,91
719,floor,26,44
719,defer,27,553
719,allow,28,899
720,floor,26,499
720,defer,30,534
720,allow,31,967
721,floor,26,879
721,defer,28,226
721,allow,28,514
722,floor,27,021
722,defer,27,894
722,allow,28,057
723,floor,26,566
723,defer,27,819
723,allow,27,505
724,floor,25,805
724,defer,27,339
724,allow,28,615
725,floor,26,761
725,defer,27,48
725,allow,28,131
726,floor,25,871
726,defer,26,794
726,allow,27,59
727,floor,28,146
727,defer,27,243
727,allow,28,196
728,floor,25,813
728,defer,38,608
728,allow,26,945
729,floor,164,893
729,defer,27,686
729,allow,27,678
730,floor,25,732
730,defer,27,821
730,allow,31,183
731,floor,28,076
731,defer,29,526
731,allow,29,52
732,floor,26,788
732,defer,27,835
732,allow,29,079
733,floor,26,604
733,defer,27,884
733,allow,27,582
734,floor,26,044
734,defer,28,249
734,allow,29,004
735,floor,42,009
735,defer,27,518
735,allow,26,709
736,floor,26,345
736,defer,28,332
736,allow,28,851
737,floor,28,271
737,defer,27,31
737,allow,28,697
738,floor,26,656
738,defer,28,022
738,allow,27,534
739,floor,27,216
739,defer,26,796
739,allow,28,857
740,floor,27,543
740,defer,28,244
740,allow,173,996
741,floor,27,262
741,defer,28,082
741,allow,29,482
742,floor,27,082
742,defer,27,048
742,allow,27,348
743,floor,27,109
743,defer,27,859
743,allow,28,204
744,floor,26,516
744,defer,27,507
744,allow,27,784
745,floor,26,547
745,defer,27,558
745,allow,27,69
746,floor,27,615
746,defer,30,052
746,allow,27,805
747,floor,26,86
747,defer,186,522
747,allow,29,363
748,floor,28,836
748,defer,29,726
748,allow,29,596
749,floor,27,283
749,defer,28,398
749,allow,28,438
750,floor,28,989
750,defer,30,321
750,allow,33,735
751,floor,194,743
751,defer,27,715
751,allow,28,734
752,floor,27,749
752,defer,28,502
752,allow,28,339
753,floor,187,357
753,defer,27,503
753,allow,27,983
754,floor,27,837
754,defer,176,141
754,allow,27,116
755,floor,186,541
755,defer,195,678
755,allow,326,118
756,floor,27,391
756,defer,28,477
756,allow,28,231
757,floor,27,108
757,defer,28,826
757,allow,28,427
758,floor,27,177
758,defer,27,53
758,allow,28,652
759,floor,27,061
759,defer,27,123
759,allow,28,656
760,floor,26,889
760,defer,28,082
760,allow,28,886
761,floor,26,739
761,defer,31,539
761,allow,29,764
762,floor,27,073
762,defer,30,7
762,allow,185,789
763,floor,26,835
763,defer,27,837
763,allow,30,205
764,floor,28,008
764,defer,28,722
764,allow,31,169
765,floor,27,564
765,defer,30,037
765,allow,29,372
766,floor,29,551
766,defer,29,596
766,allow,28,906
767,floor,26,941
767,defer,39,158
767,allow,27,712
768,floor,27,029
768,defer,28,782
768,allow,27,135
769,floor,26,57
769,defer,26,906
769,allow,27,748
770,floor,28,134
770,defer,26,841
770,allow,27,361
771,floor,29,824
771,defer,30,056
771,allow,28,384
772,floor,27,333
772,defer,28,294
772,allow,27,85
773,floor,26,606
773,defer,27,762
773,allow,28,1
774,floor,26,721
774,defer,27,516
774,allow,28,581
775,floor,26,207
775,defer,27,878
775,allow,30,299
776,floor,37,019
776,defer,27,868
776,allow,27,33
777,floor,26,788
777,defer,27,084
777,allow,27,436
778,floor,27,606
778,defer,27,391
778,allow,27,871
779,floor,28,011
779,defer,27,609
779,allow,28,162
780,floor,27,233
780,defer,28,549
780,allow,28,556
781,floor,26,748
781,defer,27,4
781,allow,27,846
782,floor,26,549
782,defer,27,096
782,allow,28,021
783,floor,27,804
783,defer,193,643
783,allow,29,674
784,floor,30,291
784,defer,28,538
784,allow,27,886
785,floor,27,905
785,defer,29,516
785,allow,28,366
786,floor,26,656
786,defer,30,1
786,allow,30,58
787,floor,28,998
787,defer,29,057
787,allow,28,055
788,floor,27,032
788,defer,27,732
788,allow,30,134
789,floor,29,647
789,defer,28,88
789,allow,27,608
790,floor,28,912
790,defer,29,857
790,allow,29,719
791,floor,28,759
791,defer,29,163
791,allow,29,487
792,floor,27,17
792,defer,28,645
792,allow,29,89
793,floor,28,217
793,defer,28,075
793,allow,30,952
794,floor,27,2
794,defer,26,322
794,allow,27,812
795,floor,212,031
795,defer,28,167
795,allow,28,101
796,floor,29,092
796,defer,29,301
796,allow,29,245
797,floor,27,287
797,defer,28,687
797,allow,28,461
798,floor,27,301
798,defer,30,19
798,allow,28,065
799,floor,26,306
799,defer,28,041
799,allow,28,028
800,floor,26,032
800,defer,27,529
800,allow,197,447
801,floor,28,733
801,defer,28,674
801,allow,28,521
802,floor,26,731
802,defer,27,457
802,allow,29,81
803,floor,27,37
803,defer,32,181
803,allow,199,352
804,floor,30,275
804,defer,29,411
804,allow,28,525
805,floor,26,394
805,defer,28,206
805,allow,28,152
806,floor,173,459
806,defer,28,125
806,allow,27,019
807,floor,25,78
807,defer,192,551
807,allow,28,638
808,floor,26,858
808,defer,184,004
808,allow,185,179
809,floor,27,132
809,defer,28,172
809,allow,28,339
810,floor,27,423
810,defer,27,478
810,allow,27,626
811,floor,28,052
811,defer,39,866
811,allow,27,02
812,floor,25,6
812,defer,27,954
812,allow,28,742
813,floor,26,447
813,defer,27,367
813,allow,28,029
814,floor,30,058
814,defer,38,23
814,allow,34,386
815,floor,27,361
815,defer,31,064
815,allow,29,814
816,floor,26,859
816,defer,27,619
816,allow,28,889
817,floor,27,446
817,defer,26,653
817,allow,27,153
818,floor,27,175
818,defer,27,126
818,allow,27,257
819,floor,26,626
819,defer,26,775
819,allow,28,065
820,floor,36,264
820,defer,28,15
820,allow,31,527
821,floor,27,702
821,defer,27,283
821,allow,28,057
822,floor,26,411
822,defer,28,571
822,allow,27,919
823,floor,26,322
823,defer,27,114
823,allow,27,818
824,floor,26,288
824,defer,28,308
824,allow,27,828
825,floor,192,821
825,defer,28,511
825,allow,28,467
826,floor,26,398
826,defer,27,908
826,allow,27,475
827,floor,27,798
827,defer,27,426
827,allow,27,846
828,floor,27,162
828,defer,27,61
828,allow,27,491
829,floor,25,67
829,defer,27,943
829,allow,28,185
830,floor,32,091
830,defer,27,945
830,allow,29,002
831,floor,28,028
831,defer,28,006
831,allow,28,108
832,floor,27,53
832,defer,27,797
832,allow,27,526
833,floor,26,72
833,defer,27,347
833,allow,26,832
834,floor,26,102
834,defer,29,523
834,allow,27,44
835,floor,192,053
835,defer,28,768
835,allow,28,429
836,floor,26,068
836,defer,27,704
836,allow,28,014
837,floor,27,956
837,defer,28,634
837,allow,27,417
838,floor,27,139
838,defer,27,601
838,allow,28,912
839,floor,28,777
839,defer,29,723
839,allow,33,378
840,floor,31,078
840,defer,30,012
840,allow,187,142
841,floor,27,875
841,defer,29,159
841,allow,29,338
842,floor,28,209
842,defer,30,024
842,allow,28,123
843,floor,26,929
843,defer,28,11
843,allow,194,518
844,floor,26,61
844,defer,28,439
844,allow,27,391
845,floor,26,155
845,defer,186,408
845,allow,30,87
846,floor,26,705
846,defer,182,718
846,allow,27,065
847,floor,185,512
847,defer,362,906
847,allow,27,9
848,floor,26,094
848,defer,27,497
848,allow,29,062
849,floor,26,759
849,defer,29,238
849,allow,29,622
850,floor,27,935
850,defer,26,94
850,allow,27,144
851,floor,25,962
851,defer,27,341
851,allow,27,783
852,floor,26,874
852,defer,27,907
852,allow,27,737
853,floor,25,872
853,defer,38,709
853,allow,28,535
854,floor,27,531
854,defer,220,853
854,allow,35,896
855,floor,27,006
855,defer,27,531
855,allow,28,197
856,floor,29,312
856,defer,31
856,allow,29,718
857,floor,32,162
857,defer,35,64
857,allow,30,312
858,floor,28,25
858,defer,185,075
858,allow,28,285
859,floor,35,059
859,defer,27,976
859,allow,29,723
860,floor,27,135
860,defer,184,175
860,allow,27,59
861,floor,31,238
861,defer,188,459
861,allow,27,52
862,floor,25,754
862,defer,27,557
862,allow,27,724
863,floor,27,478
863,defer,27,222
863,allow,27,329
864,floor,26,702
864,defer,27,06
864,allow,27,586
865,floor,25,956
865,defer,27,284
865,allow,27,823
866,floor,26,955
866,defer,28,62
866,allow,28,465
867,floor,26,248
867,defer,27,994
867,allow,27,526
868,floor,27,065
868,defer,27,579
868,allow,28,311
869,floor,26,699
869,defer,27,297
869,allow,26,576
870,floor,26,951
870,defer,27,015
870,allow,27,774
871,floor,26,658
871,defer,28,104
871,allow,28,863
872,floor,29,389
872,defer,28,792
872,allow,32,077
873,floor,28,013
873,defer,27,905
873,allow,27,488
874,floor,25,845
874,defer,28,953
874,allow,28,42
875,floor,26,896
875,defer,27,194
875,allow,28,999
876,floor,26,532
876,defer,27,995
876,allow,29,253
877,floor,26,259
877,defer,28,236
877,allow,31,961
878,floor,25,667
878,defer,26,633
878,allow,28,334
879,floor,183,463
879,defer,27,009
879,allow,27,606
880,floor,26,643
880,defer,27,472
880,allow,27,906
881,floor,25,544
881,defer,28,083
881,allow,29,479
882,floor,28,645
882,defer,28,068
882,allow,30,887
883,floor,26,671
883,defer,27,975
883,allow,27,648
884,floor,26,079
884,defer,27,821
884,allow,28,084
885,floor,27,862
885,defer,27,762
885,allow,28,07
886,floor,27,408
886,defer,27,608
886,allow,28,34
887,floor,26,748
887,defer,27,09
887,allow,28,215
888,floor,26,851
888,defer,28,886
888,allow,26,94
889,floor,180,893
889,defer,26,135
889,allow,28,292
890,floor,27,936
890,defer,27,211
890,allow,27,611
891,floor,26,592
891,defer,27,595
891,allow,28,696
892,floor,27,812
892,defer,29,977
892,allow,27,841
893,floor,30,02
893,defer,27,839
893,allow,29,202
894,floor,27,125
894,defer,29,266
894,allow,179,944
895,floor,27,378
895,defer,27,442
895,allow,26,7
896,floor,26,104
896,defer,27,476
896,allow,27,127
897,floor,28,502
897,defer,27,978
897,allow,198,846
898,floor,26,714
898,defer,27,589
898,allow,28,107
899,floor,27,025
899,defer,180,656
899,allow,28,302
900,floor,26,287
900,defer,178,917
900,allow,189,178
901,floor,338,341
901,defer,27,691
901,allow,28,108
902,floor,27,245
902,defer,27,565
902,allow,30,348
903,floor,33,895
903,defer,29,169
903,allow,29,12
904,floor,28,452
904,defer,28,831
904,allow,27,759
905,floor,26,476
905,defer,27,6
905,allow,27,973
906,floor,27,422
906,defer,28,707
906,allow,29,227
907,floor,27,152
907,defer,28,415
907,allow,28,447
908,floor,186,313
908,defer,28,685
908,allow,28,578
909,floor,25,652
909,defer,28,286
909,allow,28,327
910,floor,26,158
910,defer,28,677
910,allow,28,044
911,floor,26,464
911,defer,27,517
911,allow,28,186
912,floor,191,424
912,defer,27,288
912,allow,27,69
913,floor,27,478
913,defer,28,392
913,allow,27,893
914,floor,183,294
914,defer,27,283
914,allow,28,165
915,floor,26,871
915,defer,27,373
915,allow,27,203
916,floor,27,58
916,defer,27,441
916,allow,28,08
917,floor,27,937
917,defer,27,353
917,allow,27,243
918,floor,25,878
918,defer,28,074
918,allow,27,55
919,floor,26,145
919,defer,28,367
919,allow,27,126
920,floor,26,907
920,defer,27,436
920,allow,28,811
921,floor,30,481
921,defer,28,765
921,allow,29,283
922,floor,26,229
922,defer,28,168
922,allow,28,247
923,floor,27,384
923,defer,27,255
923,allow,27,508
924,floor,25,956
924,defer,28,436
924,allow,28,13
925,floor,26,322
925,defer,27,871
925,allow,27,85
926,floor,27,334
926,defer,27,701
926,allow,27,025
927,floor,26,385
927,defer,27,808
927,allow,27,112
928,floor,26,629
928,defer,27,529
928,allow,28,342
929,floor,26,111
929,defer,27,568
929,allow,27,521
930,floor,26,807
930,defer,27,813
930,allow,29,362
931,floor,27,024
931,defer,28,111
931,allow,27,891
932,floor,26,595
932,defer,190,389
932,allow,27,908
933,floor,26,747
933,defer,27,348
933,allow,27,82
934,floor,26,253
934,defer,27,856
934,allow,27,938
935,floor,27,004
935,defer,26,924
935,allow,27,139
936,floor,27,46
936,defer,27,244
936,allow,27,283
937,floor,30,819
937,defer,27,499
937,allow,29,286
938,floor,26,175
938,defer,27,214
938,allow,27,314
939,floor,26,397
939,defer,27,476
939,allow,27,784
940,floor,25,94
940,defer,27,365
940,allow,38,367
941,floor,26,1
941,defer,28,346
941,allow,28,989
942,floor,26,629
942,defer,191,651
942,allow,27,826
943,floor,26,047
943,defer,26,858
943,allow,27,576
944,floor,26,989
944,defer,27,134
944,allow,27,759
945,floor,25,841
945,defer,27,964
945,allow,28,472
946,floor,26,567
946,defer,27,501
946,allow,28,801
947,floor,25,935
947,defer,27,853
947,allow,28,755
948,floor,183,722
948,defer,28,153
948,allow,29,653
949,floor,36,378
949,defer,28,62
949,allow,27,533
950,floor,28,467
950,defer,28,175
950,allow,28,501
951,floor,27,522
951,defer,190,552
951,allow,28,627
952,floor,27,604
952,defer,28,216
952,allow,28,217
953,floor,26,701
953,defer,180,755
953,allow,28,413
954,floor,27,03
954,defer,177,199
954,allow,186,588
955,floor,352
955,defer,35,246
955,allow,32,054
956,floor,27,207
956,defer,28,032
956,allow,28,047
957,floor,26,61
957,defer,27,456
957,allow,26,973
958,floor,26,467
958,defer,30,51
958,allow,27,361
959,floor,27,724
959,defer,27,279
959,allow,27,532
960,floor,26,415
960,defer,27,217
960,allow,30,355
961,floor,26,311
961,defer,26,8
961,allow,29,153
962,floor,185,923
962,defer,28,674
962,allow,30,844
963,floor,30,083
963,defer,28,356
963,allow,28,161
964,floor,27,568
964,defer,28,375
964,allow,29,225
965,floor,27,003
965,defer,27,341
965,allow,28,379
966,floor,180,075
966,defer,27,94
966,allow,27,652
967,floor,26,574
967,defer,27,238
967,allow,27,397
968,floor,26,447
968,defer,27,327
968,allow,27,55
969,floor,26,564
969,defer,27,57
969,allow,27,551
970,floor,26,658
970,defer,27,6
970,allow,27,412
971,floor,27,975
971,defer,28,22
971,allow,29,92
972,floor,29,523
972,defer,28,268
972,allow,28,711
973,floor,28,632
973,defer,29,071
973,allow,27,434
974,floor,25,93
974,defer,27,592
974,allow,27,733
975,floor,27,172
975,defer,27,937
975,allow,28,154
976,floor,27,006
976,defer,28,723
976,allow,28,905
977,floor,26,493
977,defer,28,518
977,allow,31,736
978,floor,29,204
978,defer,28,864
978,allow,28,265
979,floor,30,256
979,defer,28,335
979,allow,29,16
980,floor,26,228
980,defer,26,52
980,allow,29,144
981,floor,28,418
981,defer,42,564
981,allow,28,64
982,floor,27,622
982,defer,27,239
982,allow,27,466
983,floor,26,954
983,defer,30,868
983,allow,29,228
984,floor,35,704
984,defer,28,944
984,allow,29,796
985,floor,184,012
985,defer,28,327
985,allow,28,255
986,floor,28,616
986,defer,30,848
986,allow,29,879
987,floor,28,115
987,defer,27,24
987,allow,28,556
988,floor,27,656
988,defer,27,336
988,allow,27,574
989,floor,26,38
989,defer,27,16
989,allow,27,342
990,floor,26,313
990,defer,27,505
990,allow,28,248
991,floor,28,025
991,defer,28,608
991,allow,28,093
992,floor,34,984
992,defer,27,697
992,allow,27,489
993,floor,28,401
993,defer,31,302
993,allow,28,29
994,floor,28,354
994,defer,28,699
994,allow,27,751
995,floor,27,718
995,defer,28,261
995,allow,183,694
996,floor,26,674
996,defer,28,937
996,allow,28,321
997,floor,26,175
997,defer,28,249
997,allow,27,846
998,floor,26,232
998,defer,26,882
998,allow,27,455
999,floor,27,838
999,defer,27,893
999,allow,27,392
